Post Date,Description,Debit,Credit
3/10/2022,Uncollected Fee/Due since 03/07/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/06/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/06/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/06/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/06/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/05/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/05/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/05/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/05/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/04/22 - UNPAIDNSF,34,
3/10/2022,Uncollected Fee/Due since 03/04/22 - UNPAIDNSF,34,
3/10/2022,Uncollected Fee/Due since 03/04/22 - Courtesy Pay-Ck,34,
3/10/2022,Uncollected Fee/Due since 03/04/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/04/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/04/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/04/22 - Courtesy Pay-ACH,34,
3/10/2022,Uncollected Fee/Due since 03/04/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/03/22 - UNPAIDNSF,34,
3/10/2022,Uncollected Fee/Due since 03/03/22 - UNPAIDNSF,34,
3/10/2022,Uncollected Fee/Due since 03/03/22 - Overdrawn ACH,34,
3/10/2022,Uncollected Fee/Due since 03/03/22 - Courtesy Pay-ACH,34,
3/10/2022,Uncollected Fee/Due since 03/03/22 - Courtesy Pay-ACH,34,
3/10/2022,Uncollected Fee/Due since 03/03/22 - Courtesy Pay-ACH,34,
3/10/2022,Uncollected Fee/Due since 03/02/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/02/22 - Overdrawn ACH,34,
3/10/2022,Uncollected Fee/Due since 03/02/22 - Courtesy Pay-ACH,34,
3/10/2022,Uncollected Fee/Due since 03/02/22 - Courtesy Pay-ACH,34,
3/10/2022,Uncollected Fee/Due since 03/02/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/02/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/02/22 - Courtesy Pay-Dbt,34,
3/10/2022,Uncollected Fee/Due since 03/01/22 - Courtesy Pay-Ck,34,
3/9/2022,Withdrawal DEBIT CARD/RANDALLS #1896 CEDAR PARK TX Date 03/08/22 24231682068837001109347 Card 4969Merchant Category Code: 5411,109.12,
3/9/2022,Withdrawal POS #206814980421/POS H-E-B #202 AUSTIN TX Card 2272 Merchant Category Code: 5411,55,
3/9/2022,"Deposit Bulk/Checks 7,361.00 Check Count 2 Deposit Number 0000027",,7361
3/9/2022,Withdrawal POS #206854218601/POS NST THE HOME DEPOT 000134 3730 DRY HOLE DRIVE KYLE TX Card 2675Merchant Category Code: 5200,20.56,
3/9/2022,Withdrawal POS #206812865061/POS QT 4154 OUTSIDE KYLE TX Card 2675 Merchant Category Code: 5542,65.29,
3/9/2022,Withdrawal ACH *LINCOLN NAT LIF/TYPE: PREM PYMT ID: 3504723010 DATA: PREMIUM PYMT 0480N1 CO: *LINCOLN NAT LIF,105.2,
3/9/2022,Withdrawal ACH AMERICAN GEN LIF/TYPE: INS PAYMT ID: 4250598210 CO: AMERICAN GEN LIF,60.11,
3/8/2022,"Recurring Withdrawal Bill Payment - #A450CXSM/BP Adobe Park Avenue,345 San Jose CA Card 0001 Merchant Category Code: 5817",16.23,
3/8/2022,Withdrawal ACH *LINCOLN NATLIFE/TYPE: PREMPAYMNT ID: 3504728231 DATA: 0018400TER CO: *LINCOLN NATLIFE,105.2,
3/8/2022,"Deposit/Bill.com, LLC Visa Direct CA Date 03/08/22 1 2067331444 6 5734 Card 0001Merchant Category Code: 5734",,2048.88
3/7/2022,Withdrawal DEBIT CARD/TEXAS HONE* TEXAS HONE rob@texashone TX Date 03/07/22 24492162066000022836179 Card 0718Merchant Category Code: 5812,50.01,
3/7/2022,Check 50147 Tracer 810200000406001,1346.23,
3/7/2022,Withdrawal Courtesy Pay fee,34,
3/7/2022,Check 50146 Tracer 810200000374002,749.78,
3/7/2022,Withdrawal Courtesy Pay fee,34,
3/7/2022,Withdrawal DEBIT CARD/RANDALLS #3145 LEANDER TX Date 03/06/22 24231682066837001518341 Card 4969Merchant Category Code: 5411,52.55,
3/7/2022,Check 50154 Tracer 809900000507038,1675.67,
3/7/2022,Withdrawal ACH FARMERS INS EXCH/TYPE: INSPAYMENT ID: 2432215866 DATA: BILL PAYMENT CO: FARMERS INS EXCH,1005.33,
3/7/2022,"Deposit Bulk/Checks 3,514.71 Check Count 3 Deposit Number 0000005",,3514.71
3/6/2022,Withdrawal DEBIT CARD/RANDALL FUEL2485 AUSTIN TX Date 03/05/22 24231682065837001321242 Card 4969Merchant Category Code: 5542,66.43,
3/6/2022,Withdrawal POS #206530242300/POS H-E-B #029 701 CAPITAL OF TEXAS HW W LAKE HILLS TX Card 0718Merchant Category Code: 5411,16.79,
3/6/2022,Withdrawal POS #206534375500/POS H-E-B #029 701 CAPITAL OF TEXAS HW W LAKE HILLS TX Card 0718Merchant Category Code: 5411,72.28,
3/6/2022,Recurring Withdrawal DEBIT CARD/APPLE.COM/BILL 866-712-7753 CA Date 03/05/22 24692162064100339215305 Card 2272Merchant Category Code: 5735,2.99,
3/5/2022,Withdrawal DEBIT CARD/INDIAN DELIGHTS CEDAR PARK TX Date 03/05/22 24468162065000000067079 Card 0001Merchant Category Code: 5812,41.29,
3/5/2022,Withdrawal POS #206414834382/POS CIRCLE K #2741444 CEDAR PARK TX Card 0001 Merchant Category Code: 5541,16.43,
3/5/2022,Withdrawal DEBIT CARD/CINEMARK THEATRES 1032 CEDAR PARK TX Date 03/04/22 24692162064100927515504 Card 4969Merchant Category Code: 7832,29.41,
3/5/2022,Recurring Withdrawal DEBIT CARD/APPLE.COM/BILL 866-712-7753 CA Date 03/05/22 24692162064100690979077 Card 2272Merchant Category Code: 5735,14.06,
3/4/2022,Check 2470 Tracer 809900000507037,660,
3/4/2022,Withdrawal DEBIT CARD/SQ *LONGHORN FIRE AND SAF Austin TX Date 03/04/22 24692162063100264869408 Card 2675Merchant Category Code: 8999,10.83,
3/4/2022,Withdrawal DEBIT CARD/SHELL OIL 57543332704 AUSTIN TX Date 03/03/22 24316052063548363854441 Card 0001Merchant Category Code: 5542,60.93,
3/4/2022,"Deposit Bulk/Checks 1,190.75 Check Count 1 Deposit Number 0000057",,1190.75
3/4/2022,Withdrawal POS #206308661000/POS H-E-B GAS #451 7301 NORTH FM 620 AUSTIN TX Card 2675Merchant Category Code: 5542,88.94,
3/4/2022,Withdrawal ACH BKAMERICA/TYPE: RETRY PYMT ID: 1409936115 CO: BKAMERICA,877.05,
3/4/2022,Deposit ACH PEAK6 GROUP/TYPE: PAYMENT ID: 1364166492 CO: PEAK6 GROUP,,1120.39
3/4/2022,Deposit ACH Ternion Growth P/TYPE: SIGONFILE ID: 9000830338 DATA: 805-680-2004 CO: Ternion Growth P,,433
3/4/2022,Withdrawal POS #206321228201/POS NST THE HOME DEPOT 002626 2700 WHITESTONE BLVD CEDAR PARK TX Card 2675Merchant Category Code: 5200,27.53,
3/3/2022,Withdrawal ACH CAPITAL ONE/TYPE: MOBILE PMT ID: 9279744980 CO: CAPITAL ONE,100,
3/3/2022,Withdrawal ACH AMERICAN GEN LIF/TYPE: INS PAYMT ID: 4250598210 CO: AMERICAN GEN LIF,44.54,
3/3/2022,Withdrawal ACH INTUIT 64150845/TYPE: TRAN FEE ID: 9215986202 CO: INTUIT 64150845,9.67,
3/3/2022,Deposit ACH INTUIT 04562885/TYPE: DEPOSIT ID: 9215986202 CO: INTUIT 04562885,,324.75
3/2/2022,Withdrawal DEBIT CARD/EL POLLO RICO 9 CEDAR PARK TX Date 03/01/22 24013392061000151851252 Card 4969Merchant Category Code: 5812,25.01,
3/2/2022,"Withdrawal ACH MDVIP, INC/TYPE: 8778861411 ID: 0009122507 DATA: 2721312322687 CO: MDVIP, INC",450,
3/2/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000008 DATA: ER AM CO: AMEX EPAYMENT,446.78,
3/2/2022,Withdrawal DEBIT CARD/EXXONMOBIL 48349336 CEDAR PARK TX Date 03/01/22 24164052061378008539222 Card 0001Merchant Category Code: 5542,20.74,
3/2/2022,Withdrawal DEBIT CARD/LOC CITIZENS*303699883 401-2825259 CT Date 03/01/22 24638572060016034015454 Card 4969Merchant Category Code: 6012,63.76,
3/2/2022,Withdrawal DEBIT CARD/TXTAG 888 468 9824 888-468-9824 TX Date 03/01/22 24055232060762416607567 Card 2272Merchant Category Code: 9399,40,
3/1/2022,Check 2467 Tracer 809600000627149,1000,
3/1/2022,Check 2466 Tracer 809600000103001,5830,
3/1/2022,"Deposit Bulk/Checks 5,187.00 Check Count 2 Deposit Number 0000025",,5187
3/1/2022,Withdrawal POS #182877/POS CVS/PHARMACY #07 07243--3201 Bee R Austin TX Card 2272Merchant Category Code: 5912,4.64,
3/1/2022,Withdrawal POS #206015607810/POS AUSTIN FAMILY MEDICINE AUSTIN TX Card 2272 Merchant Category Code: 8011,75,
3/1/2022,Withdrawal DEBIT CARD/TST* Wu Chow Austin TX Date 02/28/22 24692162060100406195764 Card 0001Merchant Category Code: 5812,255.26,
3/1/2022,Withdrawal Overdrawn ACH/ADP - TAX,34,
3/1/2022,Withdrawal ACH Ambetter/TYPE: HEALTH INS ID: A113580784 CO: Ambetter,628.58,
3/1/2022,Withdrawal ACH Financial Pacifi/TYPE: LEASE PYMT ID: 9118771358 CO: Financial Pacifi,524.83,
3/1/2022,Withdrawal ACH ALLY/TYPE: ALLY PAYMT ID: 9833122002 CO: ALLY,509.98,
3/1/2022,Withdrawal ACH NAVIENT/TYPE: NAVI DEBIT ID: 3520974271 DATA: LSC/F ------ CO: NAVIENT,204.9,
3/1/2022,"Recurring Withdrawal DEBIT CARD/MDV*MDVIP, INC 877-8861411 FL Date 02/28/22 24906412059141623428608 Card 0001Merchant Category Code: 8099",450,
3/1/2022,Withdrawal DEBIT CARD/H-E-B #265 CEDAR PARK TX Date 02/28/22 24427332059740271492855 Card 4969Merchant Category Code: 5411,32.29,
3/1/2022,Uncollected Fee/Due since 02/28/22 - Courtesy Pay-Dbt,34,
3/1/2022,Uncollected Fee/Due since 02/28/22 - Courtesy Pay-ACH,34,
3/1/2022,Uncollected Fee/Due since 02/28/22 - Overdrawn ACH,34,
3/1/2022,Uncollected Fee/Due since 02/28/22 - Courtesy Pay-ACH,34,
3/1/2022,Uncollected Fee/Due since 02/28/22 - Courtesy Pay-ACH,34,
2/28/2022,Withdrawal TRANSACTION FEES,28.5,
2/28/2022,Withdrawal LOW BALANCE FEE,6,
2/28/2022,Withdrawal POS #205915927478/POS RANDALLS #1896 CEDAR PARK TX Card 2272 Merchant Category Code: 5411,25.31,
2/28/2022,Withdrawal Cash,3100,
2/28/2022,Deposit Transfer From Share 00/Funds Transfer via Online,,8000
2/28/2022,Withdrawal Bill Payment #205928026766/BP FORTIVA 855-802-5572 GA Card 4969 Merchant Category Code: 6051,43.85,
2/28/2022,Withdrawal ACH BCBS HEALTH HPS/TYPE: 8007928595 ID: 1361236610 CO: BCBS HEALTH HPS,1407.74,
2/28/2022,"Deposit Bulk/Checks 1,208.07 Check Count 1 Deposit Number 0000021",,1208.07
2/28/2022,Withdrawal ACH ATT/TYPE: Payment ID: 9864031004 CO: ATT,956.06,
2/28/2022,Withdrawal ACH BCBS HEALTH HPS/TYPE: 8007928595 ID: 1361236610 CO: BCBS HEALTH HPS,498.66,
2/28/2022,Withdrawal ACH City of Austin T/TYPE: PAYMENT ID: 5746000085 CO: City of Austin T,158.25,
2/28/2022,Withdrawal POS #205909851838/POS 7-ELEVEN AUSTIN TX Card 2675 Merchant Category Code: 5541,40,
2/28/2022,Withdrawal DEBIT CARD/AMC 0161 LAKELINE 9 CEDAR PARK TX Date 02/27/22 24431062059018324077966 Card 4969Merchant Category Code: 7832,35.02,
2/28/2022,Withdrawal POS #205906875192/POS 7-ELEVEN AUSTIN TX Card 2675 Merchant Category Code: 5541,50,
2/28/2022,Withdrawal POS #205900210356/POS 7-ELEVEN 1870 S. Bagdad Roa Leander Card 4969 Merchant Category Code: 5542,69.01,
2/28/2022,Withdrawal DEBIT CARD/BIG TOP CANDY SHOP AUSTIN TX Date 02/26/22 24603162058030101283973 Card 4969Merchant Category Code: 5441,38.58,
2/27/2022,Withdrawal POS #205811231019/POS COSTCO WHSE #1152 CEDAR PARK TX Card 4969 Merchant Category Code: 5300,180.7,
2/27/2022,Withdrawal DEBIT CARD/SALTGRASS AUSTIN AUSTIN TX Date 02/26/22 24943002058207688500097 Card 2272Merchant Category Code: 5812,393.79,
2/27/2022,Withdrawal DEBIT CARD/CHEVRON 0175485 AUSTIN TX Date 02/26/22 24692162057100250774479 Card 2272Merchant Category Code: 5541,2.15,
2/26/2022,Withdrawal DEBIT CARD/CHEVRON 0175485 AUSTIN TX Date 02/26/22 24692162057100136210292 Card 2272Merchant Category Code: 5541,5.86,
2/26/2022,Withdrawal DEBIT CARD/TST* RUDY'S COUNTRY STORE AUSTIN TX Date 02/26/22 24137462057500914228522 Card 2272Merchant Category Code: 5812,46.28,
2/26/2022,Withdrawal DEBIT CARD/TST* RUDY'S COUNTRY STORE AUSTIN TX Date 02/26/22 24137462057500914228456 Card 2272Merchant Category Code: 5812,9.73,
2/26/2022,Withdrawal DEBIT CARD/SQ *SANA VIDA WELLNESS CE gosq.com TX Date 02/25/22 24692162056100409259704 Card 4969Merchant Category Code: 8011,149,
2/26/2022,Withdrawal DEBIT CARD/POPEYES 11831 / 304 CEDAR PARK TX Date 02/25/22 24231682057091000106960 Card 2272Merchant Category Code: 5814,9.95,
2/26/2022,Withdrawal DEBIT CARD/SQ *SANA VIDA WELLNESS CE gosq.com TX Date 02/25/22 24692162056100372410847 Card 4969Merchant Category Code: 8011,248,
2/26/2022,Uncollected Fee/Due since 02/25/22 - Courtesy Pay-ACH,34,
2/26/2022,Uncollected Fee/Due since 02/25/22 - Overdrawn ACH,34,
2/26/2022,Uncollected Fee/Due since 02/25/22 - Overdrawn Debit,34,
2/26/2022,Uncollected Fee/Due since 02/24/22 - Courtesy Pay-Dbt,34,
2/26/2022,Uncollected Fee/Due since 02/24/22 - Courtesy Pay-ACH,34,
2/26/2022,Uncollected Fee/Due since 02/24/22 - Courtesy Pay-Dbt,34,
2/26/2022,Uncollected Fee/Due since 02/24/22 - Courtesy Pay-Dbt,34,
2/26/2022,Uncollected Fee/Due since 02/24/22 - Courtesy Pay-Dbt,34,
2/26/2022,Uncollected Fee/Due since 02/24/22 - Courtesy Pay-Dbt,34,
2/26/2022,Uncollected Fee/Due since 02/23/22 - Courtesy Pay-Ck,34,
2/26/2022,Uncollected Fee/Due since 02/23/22 - Courtesy Pay-Ck,34,
2/25/2022,Withdrawal POS #764365/POS WM SUPERCENTER # Wal-Mart Super BUDA TX Card 2272Merchant Category Code: 5411,90.8,
2/25/2022,Withdrawal Transfer To Share 00/Payroll,8000,
2/25/2022,"Deposit Bulk/Checks 11,761.90 Check Count 1 Deposit Number 0000067",,11761.9
2/25/2022,Withdrawal ACH ADP PAYROLL FEES/TYPE: ADP - FEES ID: 9659605001 DATA: OT CO: ADP PAYROLL FEES,105.11,
2/25/2022,"Deposit Bulk/Checks 1,075.00 Check Count 2 Deposit Number 0000011",,1075
2/25/2022,Withdrawal DEBIT CARD/VIVINT INC/US 800-216-5232 UT Date 02/25/22 24430992056083703265907 Card 4969Merchant Category Code: 7393,61.13,
2/24/2022,Withdrawal DEBIT CARD/DD DOORDASH BROOKLYNH 855-973-1040 CA Date 02/24/22 24492152055743452239471 Card 4969Merchant Category Code: 5812,47.52,
2/24/2022,Withdrawal ACH ATMOS ENERGY SGL/TYPE: UTIL PYMT ID: 9000000090 CO: ATMOS ENERGY SGL,816.45,
2/24/2022,Withdrawal DEBIT CARD/HARMONY DENTAL WELLNESS AUSTIN TX Date 02/23/22 24269792055500579752164 Card 0718Merchant Category Code: 8021,287,
2/24/2022,Withdrawal DEBIT CARD/LOTUS HUNAN AUSTIN TX Date 02/23/22 24013392054002388185313 Card 0001Merchant Category Code: 5812,64.44,
2/24/2022,Withdrawal DEBIT CARD/China Cafe Austin TX Date 02/23/22 24744552055240000838364 Card 2272Merchant Category Code: 5812,97.25,
2/24/2022,Withdrawal DEBIT CARD/CITY OF CEDAR PARK 512-4015000 TX Date 02/23/22 24755422054640544517924 Card 0001Merchant Category Code: 4900,244.37,
2/23/2022,Check 50138 Tracer 809000000503942,784.97,
2/23/2022,Check 2465 Tracer 809000000503370,750,
2/23/2022,"Withdrawal UNPAIDNSF 2464/In the amount $3,000.00.",34,
2/23/2022,Check 2458 Tracer 809000000504211,251.27,
2/23/2022,Withdrawal POS #205419392729/POS QT 4025 OUTSIDE LIVE OAK TX Card 2675 Merchant Category Code: 5542,50.03,
2/23/2022,Withdrawal POS #205568171201/POS NST THE HOME DEPOT 000946 8138 AGORA PKWY SELMA TX Card 4969Merchant Category Code: 5200,21.05,
2/23/2022,Withdrawal DEBIT CARD/TACO CABANA 20351 AUSTIN TX Date 02/22/22 24231682054400000129174 Card 2272Merchant Category Code: 5814,20.72,
2/23/2022,Withdrawal DEBIT CARD/QT 4143 CEDAR PARK TX Date 02/22/22 24692162054100587756663 Card 2272Merchant Category Code: 5541,9.66,
2/23/2022,Withdrawal POS #205416290816/POS BATTERIES PLUS #479 AUSTIN TX Card 2272 Merchant Category Code: 5999,55.87,
2/23/2022,Withdrawal ACH CITI CARD ONLINE/TYPE: PAYMENT ID: CITICTP CO: CITI CARD ONLINE,1165.61,
2/23/2022,Withdrawal ACH DISCOVER BANK/TYPE: PREARRANGE ID: 6510020271 DATA: DC FINOUT DPLSVCPAY CO: DISCOVER BANK,656.2,
2/23/2022,Withdrawal ACH Pedernales Elect/TYPE: WEB PMTS ID: 9000366457 DATA: 830-868-7155 CO: Pedernales Elect,87.76,
2/23/2022,Withdrawal STOP PAYMENT FEE,24,
2/23/2022,Withdrawal POS #406375/POS 7-ELEVEN 36630 7844 BURNET RD AUSTIN TX Card 2675Merchant Category Code: 5542,55.42,
2/23/2022,Withdrawal DEBIT CARD/DD DOORDASH TACOCABAN 855-973-1040 CA Date 02/23/22 24492152054745310292312 Card 4969Merchant Category Code: 5812,25.42,
2/23/2022,Withdrawal DEBIT CARD/VIVINT INC/US 800-216-5232 UT Date 02/23/22 24430992054083716009542 Card 0001Merchant Category Code: 7393,40.56,
2/23/2022,Withdrawal DEBIT CARD/VIVINT INC/US 800-216-5232 UT Date 02/23/22 24430992054083330906974 Card 0001Merchant Category Code: 7393,80.25,
2/23/2022,Withdrawal DEBIT CARD/VIVINT INC/US 800-216-5232 UT Date 02/23/22 24430992054083301292834 Card 4969Merchant Category Code: 7393,39.48,
2/23/2022,Withdrawal DEBIT CARD/BUSHS CHICKEN - CEDAR CEDAR PARK TX Date 02/22/22 24269792054000887032020 Card 2272Merchant Category Code: 5812,15.11,
2/23/2022,Withdrawal DEBIT CARD/H-E-B #265 CEDAR PARK TX Date 02/22/22 24427332053740268430088 Card 2272Merchant Category Code: 5411,59.81,
2/23/2022,Withdrawal DEBIT CARD/REID'S LAUNDRY &amp; DRY # 3 AUSTIN TX Date 02/22/22 24275472053914001330353 Card 2272Merchant Category Code: 7210,78.75,
2/23/2022,Withdrawal DEBIT CARD/ROBERT RAMIREZ DDS MS PA AUSTIN TX Date 02/22/22 24829132053300635074503 Card 0001Merchant Category Code: 8021,110,
2/23/2022,Uncollected Fee/Due since 02/22/22 - Overdrawn ACH,34,
2/23/2022,Uncollected Fee/Due since 02/22/22 - Overdrawn ACH,34,
2/23/2022,Uncollected Fee/Due since 02/21/22 - Overdrawn Debit,34,
2/23/2022,Uncollected Fee/Due since 02/20/22 - Overdrawn Debit,34,
2/23/2022,Uncollected Fee/Due since 02/19/22 - Courtesy Pay-Dbt,34,
2/23/2022,Uncollected Fee/Due since 02/18/22 - Courtesy Pay-Ck,34,
2/23/2022,Withdrawal DEBIT CARD/TXTAG 888 468 9824 888-468-9824 TX Date 02/22/22 24055232053762315557540 Card 2272Merchant Category Code: 9399,40,
2/22/2022,Check 50141 Tracer 808900000648994,1367.62,
2/22/2022,Withdrawal POS #205300296891/POS 7-ELEVEN 2616 W BRAKER AUSTIN TX Card 0718 Merchant Category Code: 5541,17.85,
2/22/2022,Withdrawal POS #205300998571/POS 7-ELEVEN 10001 West Parmer Austin TX Card 2675 Merchant Category Code: 5542,39.73,
2/22/2022,Withdrawal POS #205300972018/POS 7-ELEVEN 10001 West Parmer Austin TX Card 2675 Merchant Category Code: 5542,56,
2/22/2022,Withdrawal ACH CAPITAL ONE/TYPE: CRCARDPMT ID: 9541719318 CO: CAPITAL ONE,200,
2/22/2022,Withdrawal ACH ALLSTATE INS CO/TYPE: INS PREM ID: 1360719665 DATA: ACH.EZPR02010 Q CO: ALLSTATE INS CO,59.53,
2/22/2022,"Deposit Bulk/Checks 9,006.40 Check Count 2 Deposit Number 0000015",,9006.4
2/21/2022,Withdrawal DEBIT CARD/PRO SERVE ENTERPRISE AUSTIN TX Date 02/18/22 24251382051030106099586 Card 2272Merchant Category Code: 2842,30.06,
2/20/2022,"Withdrawal DEBIT CARD/IN *STICKER EXPRESS, LLC CEDAR PARK TX Date 02/18/22 24692162050100816281693 Card 2675Merchant Category Code: 5533",18.5,
2/19/2022,Check 50136 Tracer 808600000182001,749.79,
2/19/2022,Withdrawal Courtesy Pay fee,34,
2/19/2022,Withdrawal DEBIT CARD/AUSTIN BLADES LLC AUSTIN TX Date 02/18/22 24037242049900017897561 Card 2272Merchant Category Code: 5719,189.44,
2/18/2022,Check 50145 Tracer 808500000421817,2350.61,
2/18/2022,Deposit Transfer From Loan 00,,83.92
2/18/2022,Withdrawal POS #204900510012/POS 7-ELEVEN 900 West Whiteston Cedar TX Card 0718Merchant Category Code: 5542,40.5,
2/18/2022,Deposit Transfer From Loan 00,,15.14
2/18/2022,Check 50137 Tracer 808500000439372,1828.34,
2/18/2022,Check 50144 Tracer 808500000441372,2205.98,
2/18/2022,Withdrawal POS #184036/POS CVS/PHARMACY #07 07243--3201 Bee R Austin TX Card 2272Merchant Category Code: 5912,3.67,
2/18/2022,Withdrawal Transfer To Loan 00,200,
2/18/2022,Check 50139 Tracer 808500000228001,1259.86,
2/18/2022,"Deposit Bulk/Checks 5,218.13 Check Count 2 Deposit Number 0000021",,5218.13
2/18/2022,Withdrawal ACH ALLSTATE INS CO/TYPE: INS PREM ID: 1360719665 DATA: ACH.EZPR02010 S CO: ALLSTATE INS CO,629.26,
2/18/2022,Withdrawal ACH ALLSTATE INS CO/TYPE: INS PREM ID: 1360719665 DATA: ACH.EZPR02010 S CO: ALLSTATE INS CO,49.23,
2/18/2022,Withdrawal ACH HOME DEPOT/TYPE: AUTO PYMT ID: CITIAUTFDR CO: HOME DEPOT,29,
2/17/2022,Withdrawal POS #204800277653/POS 7-ELEVEN 1870 S. Bagdad Roa Leander Card 2675 Merchant Category Code: 5542,70.06,
2/17/2022,Withdrawal ACH CHASE CREDIT CRD/TYPE: EPAY ID: 5760039224 CO: CHASE CREDIT CRD,250,
2/17/2022,Withdrawal POS #204800768514/POS 7-ELEVEN 1870 S. Bagdad Roa Leander Card 2675 Merchant Category Code: 5542,50.12,
2/16/2022,Check 2462 Tracer 808300000505658,1000,
2/16/2022,Check 2460 Tracer 808300000481001,1901,
2/16/2022,Check 50143 Tracer 808300000289001,1232.13,
2/16/2022,"Deposit Bulk/Checks 4,963.26 Check Count 1 Deposit Number 0000028",,4963.26
2/16/2022,Check 2461 Tracer 808300000053001,1217.5,
2/16/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000008 DATA: ER AM CO: AMEX EPAYMENT,7906.19,
2/16/2022,Withdrawal ACH ADP - TAX/TYPE: ADP - TAX ID: 9333006057 DATA: 323298036 CO: ADP - TAX,3862.29,
2/16/2022,Withdrawal ACH WELLS FARGO BANK/TYPE: RESERVE ID: WFRETAIL01 DATA: 15:OTISRSF CO: WELLS FARGO BANK,987,
2/16/2022,Withdrawal ACH CRATEBARREL CC/TYPE: CRATE EPAY ID: 9069872103 CO: CRATEBARREL CC,353,
2/16/2022,Withdrawal ACH ATT/TYPE: Payment ID: 9864031004 CO: ATT,80.42,
2/16/2022,Withdrawal ACH INTUIT 76726895/TYPE: TRAN FEE ID: 9215986202 CO: INTUIT 76726895,14.58,
2/16/2022,Deposit ACH INTUIT 19431545/TYPE: DEPOSIT ID: 9215986202 CO: INTUIT 19431545,,421.42
2/16/2022,Withdrawal DEBIT CARD/CITY OF SAN ANTONIO 210-207-1111 TX Date 02/16/22 24692162047100109000467 Card 4969Merchant Category Code: 9399,177.73,
2/16/2022,Withdrawal DEBIT CARD/TEXASGASSERVICE 800-700-2443 OK Date 02/15/22 24492152046743387027175 Card 0718Merchant Category Code: 4900,88.59,
2/16/2022,Withdrawal DEBIT CARD/LINCOLN FINANCIAL GROUP 800-487-1485 NC Date 02/15/22 24493982046026788982712 Card 0001Merchant Category Code: 6300,316.91,
2/16/2022,Withdrawal DEBIT CARD/LINCOLN FINANCIAL GROUP 800-487-1485 NC Date 02/15/22 24493982046026788870412 Card 0001Merchant Category Code: 6300,105.2,
2/16/2022,Withdrawal DEBIT CARD/H-E-B GAS/CARWASH #265 CEDAR PARK TX Date 02/15/22 24427332046740265708940 Card 4969Merchant Category Code: 5542,55.33,
2/16/2022,Withdrawal DEBIT CARD/TACO MORE AUSTIN TX Date 02/15/22 24692162047100930197938 Card 2272Merchant Category Code: 5812,45.46,
2/16/2022,Withdrawal DEBIT CARD/PRO SERVE ENTERPRISE AUSTIN TX Date 02/14/22 24251382046030045341287 Card 2272Merchant Category Code: 2842,23.09,
2/15/2022,Check 50123 Tracer 808200000376848,277.05,
2/15/2022,Check 2459 Tracer 808200000378013,2400,
2/15/2022,Withdrawal Cash,3100,
2/15/2022,Withdrawal ACH FARMERS INS EXCH/TYPE: RETRY PYMT ID: 2432215866 DATA: BILL PAYMENT CO: FARMERS INS EXCH,1011.33,
2/15/2022,Withdrawal ACH THE GUARDIAN/TYPE: INSUR PREM ID: 9555845001 CO: THE GUARDIAN,849.54,
2/15/2022,Withdrawal ACH FARMERS INS EXCH/TYPE: INSPAYMENT ID: 2432215866 DATA: BILL PAYMENT CO: FARMERS INS EXCH,661.91,
2/15/2022,Withdrawal ACH DISCOVER/TYPE: E-PAYMENT ID: 3510020270 DATA: DC PYMNTS DCIDPIINT CO: DISCOVER,500,
2/15/2022,Withdrawal ACH LendingClub/TYPE: 8885963157 ID: 8510605731 DATA: Y CO: LendingClub,498.15,
2/15/2022,Withdrawal ACH CAPITAL ONE/TYPE: MOBILE PMT ID: 9279744980 CO: CAPITAL ONE,250,
2/15/2022,Withdrawal ACH ATT/TYPE: Payment ID: 9864031005 CO: ATT,101.29,
2/15/2022,Withdrawal ACH HUMANA COMPBENEF/TYPE: 7709988936 ID: 2591843760 CO: HUMANA COMPBENEF,50.74,
2/15/2022,Withdrawal POS #062939/POS 7-ELEVEN 36630 7844 BURNET RD AUSTIN TX Card 2675Merchant Category Code: 5542,40.21,
